,query_1,query_2
0,query: Как клиент может проверить статус разблокировки своего счета?,query: Какие операции с металлом можно провести наличными через кассу третьим лицом?
1,"query: Что необходимо сделать, если сумма в разрешении ФУ превышает 50 000 рублей?",query: Как снять все ограничения и провести платежи по Плану реструктуризации долгов?
2,query: Какое решение подтверждает полномочия попечителя над ограниченно дееспособным подопечным?,"query: Какой документ нужен, если подопечный находится в соцучреждении?"
3,query: Какую тематику выбирает сотрудник при регистрации обращения по банкротству физического лица?,query: Что писать в теме письма для восстановления дееспособности клиента?
4,"query: Что нужно делать, если в разрешении ФУ сумма превышает 50 000 рублей?","query: Что нужно сделать, если клиента ошибочно поставили в статус недееспособного?"
5,query: Какие документы необходимо представить органу опеки для помещения недееспособного в государственное социальное учреждение?,query: Что за ограничения указаны в тексте?
6,query: Какие поведенческие признаки должны насторожить при обращении клиента за выпуском карты?,query: Кто считается представителем для дееспособного несовершеннолетнего клиента?
7,"query: Что нужно сделать, если сумма в разрешении ФУ превышает 50 000 рублей?","query: Какие действия может выполнять доверенность ФУ для клиентов, находящихся на стадии реализации имущества?"
8,query: Какие поведенческие признаки могут указывать на необычное поведение клиента при выпуске банковской карты?,query: Как клиенту подтвердить сделку через приложение?
9,"query: Кто может получить выписку по счету, если клиент ограниченно дееспособный из-за пристрастия?","query: Какие риски могут возникнуть, если подростки сами оформляют карты?"
10,query: Что нужно сделать при явке клиента для получения карты?,query: Какие счета можно открыть банкроту без одобрения Финансового управляющего?
11,query: Разрешено ли проводить операции по выпуску или перевыпуску карты согласно ПЦП ЦК/ПК МБ?,query: Какие документы нужны для распоряжения средствами ограниченно дееспособного?
12,"query: Что происходит с заявлением на кредит, если клиент является банкротом?",query: Как клиенту подтвердить сделку с картой?
13,query: Какой документ необходимо приложить к заявке на разблокировку счета банкрота?,query: Сколько Детских СберКарт можно открыть на одного ребенка?
14,query: Какие документы требуются для помещения ограниченно дееспособного гражданина в государственную социальную организацию?,query: Где отдать бумажный вариант Запроса на информацию?
15,query: Какие документы должен предъявить клиент-банкрот для выполнения платежей по Плану реструктуризации долгов?,query: Как можно подтвердить операцию по документу?
16,"query: Какие операции возможно выполнять по доверенности, выданной Финансовым управляющим клиенту в стадии Реструктуризация долгов?",query: Что интересует клиентов по поводу реструктуризации в ВСП?
17,query: Какие поведенческие признаки указывают на возможное мошенничество при выпуске банковской карты?,query: Что может сделать банкрот на любой стадии процесса без одобрения Финансового управляющего?
18,query: Какие документы клиент-банрот должен предоставить для выполнения платежей по Плану реструктуризации долгов?,query: Какое согласие нужно от финансового управляющего для снятия ареста со счета банкрота?
19,query: Кто может совершать операции по продуктам ограниченно дееспособного вследствие психического расстройства?,query: Что требуется направить в архив по данному документу?
20,query: Какие документы нужны для проведения операции с клиентом-банкротом?,"query: Какие бумаги нужны для проведения операций, уменьшающих имущество ограниченно дееспособного?"
21,query: Какую сумму можно выдать по копии разрешения ФУ без проверки у ФУ?,query: Как можно установить маркер недееспособности или ограниченной дееспособности для подопечного?
22,query: Какой порядок выдачи выписки по счету для несовершеннолетнего вкладчика?,query: Как удостовериться в правильности данных документа опеки перед продлением полномочий?
23,"query: Что нужно сделать, если клиент пришел один и количество его активных карт не превышает 5 штук?",query: Как быстро принимается решение о проведении операции после согласования?
24,query: Кому может быть выдана выписка по счету или вкладу?,query: Зачем требуется заявление-анкета?
25,query: Какую информацию необходимо указать в форме заявки при обращении финансового управляющего?,query: Нужно ли согласовывать операции свыше 10 миллионов с ПЦП Центра комплаенс?
26,query: Какие сообщения могут выводиться на экран в Сбол.Про?,query: Что нужно проверить при работе с финансовым управляющим?
27,query: Кто может совершать операции по продуктам несовершеннолетнего с 14 до 18 лет?,"query: Какие документы можно представить клиенту, если он недоволен справкой о арестах и взысканиях?"
28,query: Какие данные должны содержаться в разрешении Финансового управляющего для расхода денежных средств банкрота?,query: Кто не может открыть Номинальный счёт для получения соцвыплат?
29,query: Что происходит при обращении Конкурсного управляющего для открытия счета на банкрота-крестьянина?,"query: Светит ли законному представителю уведомление, если ребенок изменяет расходный лимит?"
30,query: Кто может обратиться за выпиской по счету несовершеннолетнего до 14 лет?,"query: Кому нужно дать доверенность, чтобы социальный работник мог обслуживать?"
31,query: Что происходит на экране при вводе суммы расходной операции в СБОЛ.Про?,query: Как можно поставить или изменить маркер дееспособности для клиента?
32,"query: Что делать, если возникли подозрения в легализации преступных доходов при обслуживании клиента?","query: Что делать, если нужного бенефициара нет при открытии номинального счета?"
